Date, Open, High, Low, Close, Volume
2024-08-13,14.8,15,14.55,14.65,5494700
2024-08-12,14.8,15,14.7,14.8,8245700
2024-08-09,14.8,15,14.75,14.8,1643200
2024-08-08,14.8,14.9,14.65,14.75,9072900
2024-08-07,14.85,14.95,14.5,14.7,3229000
2024-08-06,14.95,15,14.5,14.85,4266600
2024-08-05,15,15,14.2,14.4,12414600
2024-08-02,15.15,15.35,14.95,15.05,14638300
2024-08-01,15.8,15.8,15.1,15.35,1895000
2024-07-31,15.8,16,15.7,15.9,883400
2024-07-30,15.7,16.5,15.6,16,5675600
2024-07-29,15.45,16,15.2,15.3,3487600
2024-07-26,15.5,15.5,15.05,15.1,25624900
2024-07-25,15.8,15.95,15.05,15.55,21303400
2024-07-24,16.2,16.2,15.55,15.95,5218800
2024-07-23,16.3,16.3,16,16.15,6812200
2024-07-22,16.45,16.45,16.2,16.2,5541900
2024-07-19,16.45,16.45,16.3,16.4,432500
2024-07-18,16.8,16.9,16.3,16.45,1016500
2024-07-17,17,17,16.6,16.75,1146200
2024-07-16,17.05,17.15,16.95,17,928800
2024-07-15,17.05,17.15,16.95,17,11160600
2024-07-12,17.05,17.15,17.05,17.05,6048400
2024-07-11,17,17.2,17,17.05,6594100
2024-07-10,17.25,17.3,16.9,17.1,1644600
2024-07-09,17.35,17.5,17.2,17.3,2397400
2024-07-08,17.3,17.5,17.2,17.3,5022400
2024-07-05,17.1,17.5,17.1,17.3,2170700
2024-07-04,17.8,17.8,17.1,17.2,5027500
2024-07-03,17.4,17.5,17.3,17.35,6918000
2024-07-02,17.5,17.7,17.3,17.4,5078000
2024-07-01,17.3,17.8,17.3,17.45,1359700
2024-06-28,17,17.6,16.8,17.3,6538000
2024-06-27,17.8,17.8,16.95,17.2,3790800
2024-06-26,18.05,18.05,17.6,17.85,15357100
2024-06-25,18.1,18.5,17.95,18.05,2368100
2024-06-24,18.2,18.3,17.95,18.1,2153700
2024-06-21,18.55,18.55,18.05,18.15,3081600
2024-06-20,18.5,18.8,18.5,18.7,6462600
2024-06-19,18.35,18.7,18.05,18.5,4109900
2024-06-18,18.2,18.45,18.1,18.3,1250100
2024-06-14,18.35,18.35,18.1,18.2,241300
2024-06-13,18.1,18.25,18,18.1,7702600
2024-06-12,18.15,18.2,18,18.1,8259700
2024-06-11,18.15,18.15,18,18.05,9094600
2024-06-10,18.35,18.35,18,18.1,270300
2024-06-07,18.35,18.35,18.25,18.35,3250900
2024-06-06,18.05,18.7,18,18.35,4895200
2024-06-05,18.05,18.2,18,18.05,5474800
2024-06-04,18,18.15,18,18,3279500
2024-06-03,18.2,18.5,17.95,18,6821200
2024-05-31,18.2,18.2,17.85,17.9,12864800
2024-05-30,18.35,18.35,18,18.05,11478800
2024-05-29,18.75,18.75,18.05,18.35,18215900
2024-05-28,17.7,18.7,17.7,18.5,30893801
2024-05-27,17.7,18,17.7,17.8,775800
2024-05-24,17.9,18,17.5,17.75,8426400
2024-05-23,18.7,18.7,17.85,18,13520200
2024-05-22,18.5,19.05,18.4,18.9,16527699
2024-05-21,18,18.45,18,18.3,5896900
2024-05-20,17.5,18.15,17.5,17.95,5743900
2024-05-17,17.35,17.8,17.25,17.4,667900
2024-05-16,17.3,17.35,17,17.25,526000
2024-05-15,17.1,17.35,17,17.25,5723200
2024-05-14,17.5,17.75,17.05,17.35,2381100
2024-05-13,16.55,17.85,16.55,17.35,1325500
2024-05-09,16.5,17.4,16,16.5,2783300
2024-05-08,15.8,17,15.75,15.95,7641200
2024-05-07,15.8,15.85,15.5,15.65,5009400
2024-05-06,15.95,15.95,15.7,15.75,898500
2024-05-03,16,16,15.85,15.95,1483800
2024-05-02,15.95,16.2,15.9,16,1898700
2024-04-30,16,16,15.75,15.95,616000
2024-04-29,16.25,16.3,15.75,16,4777400
2024-04-26,16.5,16.5,16.2,16.3,1809200
2024-04-25,16.3,16.5,16.2,16.35,3116100
2024-04-24,16.25,16.8,16.2,16.35,912400
2024-04-23,16.1,17,16.05,16.25,5562200
2024-04-22,16,16.3,16,16.1,426400
2024-04-19,16.5,16.5,15.9,16,11548000
2024-04-18,16.8,16.9,16.3,16.35,1278400
2024-04-17,16.95,16.95,16,16.75,10621700
2024-04-16,17.45,17.5,16.9,16.95,941100
2024-04-15,17.05,17.3,17,17.05,5336200
2024-04-12,16.5,17.2,16.5,16.95,3761800
2024-04-11,16.65,16.75,16.5,16.65,4093000
2024-04-09,17,17,16.3,16.65,8563600
2024-04-08,17.5,17.5,16.5,16.8,6289300
2024-04-05,17.7,18.05,17,17.55,5390900
2024-04-04,17.5,17.85,17.5,17.7,6958200
2024-04-03,17.5,18,17.5,18,16829500
2024-04-02,17.4,18.2,16.5,17.55,7807300
2024-03-28,19,19.5,17.4,17.75,13614000
2024-03-27,20.5,21.15,18.15,19.3,7005400
2024-03-26,18.3,19.35,18,19.25,5313500
2024-03-25,16.8,18.15,16.8,17.6,104525297
2024-03-22,16.75,17.2,16.3,16.75,20780000
2024-03-21,15.7,16.85,15.7,16.15,6160500
2024-03-20,14.9,15.85,14.9,15.4,5257500
2024-03-19,14.7,15,14.55,14.8,3772800
2024-03-18,15,15.4,14.3,14.6,9307800
2024-03-15,15.5,15.85,14.85,15.2,2631200
2024-03-14,14.7,15.2,14.6,15,42418699
2024-03-13,14.65,14.65,14.5,14.6,37153102
2024-03-12,14.2,14.7,14.2,14.5,23289699
2024-03-11,14.05,14.25,14,14.15,1723000
2024-03-08,13.9,14.1,13.8,13.9,10298300
2024-03-07,13.9,13.9,13.75,13.9,1017300
2024-03-06,13.6,13.9,13.6,13.75,1544400
2024-03-05,13.6,13.8,13.5,13.5,10095000
2024-03-04,13.8,14.8,13.4,13.5,2195300
2024-03-01,13.35,13.9,13.3,13.5,11252100
2024-02-29,13.45,13.45,13.15,13.25,5538200
2024-02-28,13.6,13.6,13.3,13.5,13609500
2024-02-27,13.8,13.8,13.5,13.65,5063800
2024-02-26,13.35,14,13.35,13.75,2030600
2024-02-23,13.7,13.7,13.35,13.4,1801500
2024-02-22,13.4,13.5,13.3,13.4,19041801
2024-02-21,13.5,13.9,13,13.4,4540900
2024-02-20,13.6,13.6,13.35,13.5,494000
2024-02-19,13.2,13.5,13.1,13.4,480600
2024-02-16,13.4,13.5,12.95,13.1,11761400
2024-02-15,13.15,13.45,13,13.05,14330200
2024-02-14,13.2,13.35,12.95,13,1334300
2024-02-13,13,13.3,13,13.2,22076600
2024-02-12,13.2,13.45,13,13.2,242400
2024-02-09,13.2,13.2,12.95,13.05,4896800
2024-02-08,13.4,13.4,13,13.2,1845800
2024-02-07,13.45,13.45,13,13.15,1425100
2024-02-06,13.45,13.5,13.4,13.45,7787100
2024-02-05,13.5,13.5,13.35,13.45,7576000
2024-02-02,13.7,13.75,13.4,13.5,6246000
2024-02-01,13.9,13.9,13.35,13.5,4667900
2024-01-31,13.75,13.9,13.5,13.6,3222700
2024-01-30,13.5,13.7,13.5,13.55,5800700
2024-01-29,13,13.45,13,13.1,4917900
2024-01-26,13.5,13.5,12.95,13.1,928000
2024-01-25,13.5,13.5,13.2,13.45,2189800
2024-01-24,13.95,13.95,13.4,13.6,1912400
2024-01-23,13.75,13.95,13.7,13.8,316400
2024-01-22,13.95,13.95,13.8,13.9,2946700
2024-01-19,13.95,14,13.75,13.95,11829000
2024-01-18,14,14,13.9,13.95,1274700
2024-01-17,14.2,14.2,13.85,14,5351600
2024-01-16,13.9,14.1,13.8,13.9,2446300
2024-01-15,13.9,14.1,13.65,13.9,407100
2024-01-12,14.1,14.1,13.8,13.9,440300
2024-01-11,14,14,13.85,13.9,10658100
2024-01-10,13.6,14.1,13.6,13.8,4438100
2024-01-09,13.85,14.1,13.6,13.65,2192400
2024-01-08,13.7,14,13.6,13.85,248500
2024-01-05,13.8,14,13.55,13.6,5622200
2024-01-04,13.65,13.8,13.55,13.6,1000500
2024-01-03,13.9,13.9,13.6,13.65,1666700
2024-01-02,13.7,13.95,13.65,13.75,176500
